,date,region,sq_num,fire_num
0,11.10.2019,Омская область,30,1
1,11.10.2019,Республика Хакасия,26,1
2,11.10.2019,Томская область,22,1
3,11.10.2019,Республика Алтай,1,2
4,11.10.2019,Тюменская область,1,1
5,10.10.2019,Томская область,104,1
6,10.10.2019,Еврейская автономная область,5,1
7,10.10.2019,Алтайский край,3,1
8,10.10.2019,Республика Алтай,1,4
9,10.10.2019,Тюменская область,1,1
10,09.10.2019,Томская область,99,1
11,09.10.2019,Республика Тыва,40,1
12,09.10.2019,Забайкальский край,10,1
13,09.10.2019,Республика Алтай,2,4
14,08.10.2019,Забайкальский край,181,2
15,08.10.2019,Томская область,98,1
16,08.10.2019,Самарская область,44,3
17,08.10.2019,Республика Башкортостан,35,2
18,08.10.2019,Хабаровский край,29,1
19,08.10.2019,Республика Алтай,4,2
20,07.10.2019,Хабаровский край,125,3
21,07.10.2019,Томская область,95,2
22,07.10.2019,Амурская область,40,2
23,07.10.2019,Оренбургская область,10,1
24,07.10.2019,Самарская область,9,1
25,07.10.2019,Республика Башкортостан,7,1
26,07.10.2019,Республика Алтай,1,1
27,07.10.2019,Челябинская область - ГЗ «Ильменский»,3,1
28,04.10.2019,Забайкальский край,8,3
29,03.10.2019,Амурская область,25,2
30,03.10.2019,Сахалинская область,1,1
31,02.10.2019,Забайкальский край,6,1
32,01.10.2019,Забайкальский край,10,1
33,27.09.2019,Красноярский край,136,7
34,27.09.2019,Забайкальский край,13,2
35,27.09.2019,Томская область,3,2
36,27.09.2019,Республика Алтай,2,1
37,27.09.2019,Республика Бурятия,1,1
38,26.09.2019,Красноярский край,256,8
39,26.09.2019,Томская область,3,1
40,26.09.2019,Республика Алтай,1,1
41,25.09.2019,Красноярский край,73,6
42,25.09.2019,Томская область,9,3
43,25.09.2019,Республика Тыва,9,1
44,25.09.2019,Республика Алтай,2,2
45,25.09.2019,Забайкальский край,1,1
46,24.09.2019,Томская область,51,5
47,24.09.2019,Республика Тыва,22,1
48,24.09.2019,Красноярский край,7,2
49,24.09.2019,Республика Алтай,1,1
50,23.09.2019,Томская область,12,4
51,23.09.2019,Забайкальский край,5,1
52,23.09.2019,Республика Алтай,1,1
53,23.09.2019,Алтайский край,1,1
54,22.09.2019,Томская область,10,3
55,22.09.2019,Алтайский край,1,1
56,22.09.2019,Сахалинская область,1,1
57,21.09.2019,Республика Тыва,6,1
58,21.09.2019,Томская область,3,1
59,21.09.2019,Карачаево-Черкесская Республика,2,1
60,21.09.2019,Алтайский край,1,1
61,21.09.2019,Камчатский край,210,1
62,20.09.2019,Карачаево-Черкесская Республика,2,1
63,20.09.2019,Республика Саха Якутия,16835,5
64,20.09.2019,Камчатский край,210,1
65,19.09.2019,Республика Крым,41,2
66,19.09.2019,Республика Саха Якутия,25458,7
67,19.09.2019,Камчатский край,210,1
68,18.09.2019,Камчатский край,11,1
69,18.09.2019,Томская область,1,1
70,18.09.2019,Республика Саха Якутия,25458,7
71,18.09.2019,Камчатский край,281,2
72,17.09.2019,Камчатский край,275,2
73,17.09.2019,Алтайский край,10,1
74,17.09.2019,Астраханская область – ФГБУ «Астраханского ордена Трудового Знамени ГПБЗ»,120,1
75,17.09.2019,Республика Саха Якутия,21652,12
76,16.09.2019,Камчатский край,76,2
77,16.09.2019,Красноярский край,24,3
78,16.09.2019,Алтайский край,10,1
79,16.09.2019,Нижегородская область,5,1
80,16.09.2019,Свердловская область – МО г. Екатеринбург,1,1
81,16.09.2019,Республика Саха Якутия,20067,13
82,15.09.2019,Камчатский край,76,2
83,15.09.2019,Красноярский край,24,3
84,15.09.2019,Рязанская область,10,1
85,15.09.2019,Республика Марий Эл,2,2
86,15.09.2019,Нижегородская область - Гороховецкое военное лесничество,5,1
87,15.09.2019,Республика Саха Якутия,17010,15
88,14.09.2019,Камчатский край,72,2
89,14.09.2019,Красноярский край,65,7
90,14.09.2019,Нижегородская область - Гороховецкое военное лесничество,1,1
91,14.09.2019,Республика Саха Якутия,14850,16
92,14.09.2019,Красноярский край,12142,1
93,13.09.2019,Красноярский край,151,8
94,13.09.2019,Республика Крым,5,1
95,13.09.2019,Краснодарский край,3,1
96,13.09.2019,Нижегородская область,5,3
97,13.09.2019,Республика Крым - Ялтинский горно-лесной ПЗ,2,1
98,13.09.2019,Красноярский край,12142,1
99,13.09.2019,Республика Саха Якутия,10060,9
100,12.09.2019,Красноярский край,197,10
101,12.09.2019,Республика Саха Якутия,7,2
102,12.09.2019,Сахалинская область,2,2
103,12.09.2019,Волгоградская область,1,1
104,12.09.2019,Томская область,1,1
105,12.09.2019,Республика Саха Якутия,16291,10
106,12.09.2019,Красноярский край,12142,1
107,11.09.2019,Красноярский край,197,9
108,11.09.2019,Брянская область,5,2
109,11.09.2019,Республика Саха Якутия,16793,14
110,11.09.2019,Красноярский край,12142,1
111,11.09.2019,Забайкальский край,975,1
112,11.09.2019,Амурская область,311,1
113,10.09.2019,Республика Саха Якутия,120,1
114,10.09.2019,Иркутская область,35,1
115,10.09.2019,Волгоградская область,23,1
116,10.09.2019,Красноярский край,3,1
117,10.09.2019,Томская область,1,2
118,10.09.2019,Краснодарский край,1,1
119,10.09.2019,Рязанская область,1,1
120,10.09.2019,Республика Саха Якутия,20345,18
121,10.09.2019,Красноярский край,12142,1
122,10.09.2019,Забайкальский край,10363,9
123,10.09.2019,Амурская область,311,1
124,09.09.2019,Иркутская область,208,2
125,09.09.2019,Республика Саха Якутия,120,1
126,09.09.2019,Забайкальский край,108,9
127,09.09.2019,Магаданская область,2,1
128,09.09.2019,Ульяновская область,2,1
